old,modern
mourn'd,mourned
boate,boat
fastned,fastened
sea-faring,seafaring
Whil'st,Whilst
heedfull,heedful
dispos'd,disposed
eyther,either
Disperst,Dispersed
discouered,discovered
Epidarus,Epidaurus
oh,O
sequell,sequel
tearm'd,termed
encountred,encountered
rocke,rock
helpefull,helpful
waight,weight
seiz'd,seized
ship-wrackt,shipwrecked
seuer'd,severed
blisse,bliss
prolong'd,prolonged
they,thee
yongest,youngest
inquisitiue,inquisitive
importun'd,importuned
retain'd,retained
losse,loss
timelie,timely
trauells,travels
Crowne,crown
disanull,disannul
aduocate,advocate
adiudged,adjudged
recal'd,recalled
honours,honour's
doom'd,doomed
Egean,Egeon
liuelesse,lifeless
Captaines,captain's
Anthony,Antony
Looke,Look
transform'd,transformed
Cleo,CLEOPATRA
Ant,ANTONY
bourne,bourn
damne,damn
Kingdomes,Kingdoms
dungie,dungy
twaine,twain
doo't,do't
weete,weet
falshood,falsehood
stirr'd,stirred
striues,strives
Casar,Caesar
Lyar,liar
Hurley-burley's,hurly-burly's
Battaile's,battle's
fogge,fog
Fraunce,France
retayne,retain
Seigniorie,seigniory
Earle,Earl
pedegree,pedigree
successefully,successively
Whome,Whom
wombe,womb
Europes,Europe's
Deriued,Derived
obscurd,obscured
Valoys,Valois
gouernor,governor
heynous,heinous
Prouokes,Provokes
lauish,lavish
subiects,subjects
imbrace,embrace
duety,duty
tyrants,tyrant's
shepheard,shepherd
vigor,vigour
rakt,racked
nowe,now
yoak,yoke
stubburne,stubborn
steele,steel
spurne,spurn
souereignety,sovereignty
mestenger,messenger
Awdley,Audley
Lorrayne,Lorraine
Lor,LORRAINE
commandes,commands
mnch,much
liberall,liberal
somon,summon
Repaire,Repair
coustome,custom
repossesse,repossess
laughes,laughs
conquerer,conqueror
bowe,bow
vnpolisht,unpolished
trueth,truth
arrogannce,arrogance
commaund,command
foote,foot
knele,kneel
Dukedome,dukedom
defyaunce,defiance
Pri,PRINCE
masters,master's
gratious,gracious
Lordes,lords
scurrylous,scurrilous
droane,drone
wele,we'll
storme,storm
peecemeale,piecemeal
Art,ARTOIS
constraynd,constrained
reproch,reproach
Traytor,traitor
Bearest,Bear'st
sharpnes,sharpness
scard,scarred
poysoned,poisoned
Lord,Lords
quickely,quickly
informde,informed
othe,oath
spoyld,spoiled
inclosd,enclosed
Warwicke,Warwick
serud,served
Mouneford,Mountford
War,WARWICK
greeue,grieve
shrinke,shrink
dishonors,dishonour's
warie,wary
comence,commence
Embassador,ambassador
Myselfe,Myself
ioyntly,jointly
employd,employed
trayterous,traitorous
cheereful,cheerful
warres,war's
alowd,aloud
rightfull,rightful
cheerefully,cheerfully
Herford,Hereford
appeale,appeal
Norfolke,Norfolk
moreouer,moreover
subiect,subject
treacherie,treachery
apparant,apparent
Aym'd,Aimed
inueterate,inveterate
deafe,deaf
hastie,hasty
Bullingbrooke,Bolingbroke
Soueraigne,sovereign
Adde,Add
Coosin,Cousin
obiect,object
aggrauate,aggravate
throte,throat
tong,tongue
vntill,until
tearmes,terms
bloods,blood's
defie,defy
oddes,odds
Alpes,Alps
loyaltie,loyalty
stoope,stoop
Knight-hood,knighthood
aliue,alive
vniustly,unjustly
Cosin,cousin
Mowbraies,Mowbray's
detain'd,detained
suruey'd,surveyed
contriued,contrived
Glousters,Gloucester's
streames,streams
Abels,Abel's
chasticement,chastisement
arme,arm
soares,soars
sayest,sayst
impartiall,impartial
Scepters,sceptre's
fearelesse,fearless
Mow,MOWBRAY
reseru'd,reserved
Lye,lie
trespasse,trespass
begg'd,begged
appeal'd,appealed
Triall,trial
choller,choler
forgiue,forgive
Vnckle,uncle
Norfolkes,Norfolk's
Harrie,Harry
Despight,Despite
Lyons,Lions
spotlesse,spotless
loame,loam
beggar-feare,beggar-fear
hight,height
out-dar'd,outdared
teare,tear
setled,settled
attone,atone
Marshall,Marshal
Alarmes,alarms
Funerall,funeral
Fift,Fifth
Glost,GLOUCESTER
Vertue,Virtue
deseruing,deserving
beames,beams
Exe,EXETER
mourne,mourn
Deaths,death's
Victorie,victory
glorifie,glorify
Captiues,captives
Winch,WINCHESTER
Battailes,battles
Schoole-boy,schoolboy
Realme,realm
go'st,goest
Bed,BEDFORD
wayt,wait
Posteritie,Posterity
Ile,isle
Teares,tears
wayle,wail
Soule,soul
Guyen,Guienne
Bedf,BEDFORD
say'st,sayest
Townes,towns
recall'd,recalled
trecherie,treachery
Souldiers,soldiers
dispatcht,dispatched
expence,expense
obtayn'd,obtained
concerne,concern
reuolted,revolted
Dolphin,Dauphin
Orleance,Orleans
Aniou,Anjou
doubtst,doubtest
forwardnesse,forwardness
ouer-run,overrun
Henries,Henry's
dismall,dismal
ouercame,overcame
o'rethrown,o'erthrown
troupe,troop
incompassed,encompassed
enranke,enrank
agaz'd,agazed
cry'd,cried
amaine,amain
rusht,rushed
relieue,relieve
stroake,stroke
generall,general
Wallon,Walloon
Dolphins,Dauphin's
Speare,spear
slaughter'd,slaughtered
Ransome,ransom
Foure,Four
Taske,task
craueth,craveth
Oathes,oaths
proclayme,proclaim
Eltam,Eltham
Iack,Jack
longer,longer
Therefore,Therefore
wander,wander
then,then
Yonder,Yonder
ingratitude,ingratitude
continuate,continuate
figure,figure
ambling,ambling
Alcibiades,Alcibiades
would,would
win,win
Right,Right
lay,lay
heart,heart
voice,voice
Fame,Fame
almost,almost
concord,concord
there's,there's
recreation,recreation
discourse,discourse
Touches,Touches
wing,wing
Gurney,Gurney
dispose,dispose
Would,Would
Amongst,Amongst
Off,Off
Messenger,Messenger
last,last
wafts,wafts
Clarence,Clarence
remedies,remedies
wits,wits
Here's,Here's
y'are,y'are
Sets,Sets
Knighted,Knighted
resurrections,resurrections
Suggestions,Suggestions
Desiring,Desiring
curses,curses
Till,Till
consequently,consequently
split,split
weeping,weeping
blushest,blushest
stay,stay
Nym,Nym
infirmities,infirmities
meet,meet
requital,requital
Leander,Leander
child,child
offence,offence
Men,Men
Mars,Mars
mutinous,mutinous
honour's,honour's
conceit,conceit
Now,Now
read,read
hangman,hangman
way,way
inherit,inherit
kindred,kindred
Anne,Anne
bechance,bechance
Try,Try
back,back
thank,thank
secrets,secrets
plated,plated
Newcastle,Newcastle
master,master
Proceed,Proceed
yet,yet
raised,raised
little,little
folly,folly
quit,quit
intellects,intellects
quarrel,quarrel
dishonour,dishonour
found,found
Kind,Kind
Titus,Titus
both,both
Tamora's,Tamora's
wrong,wrong
suffer,suffer
infringe,infringe
remit,remit
Laertes,Laertes
hung,hung
plenteous,plenteous
Essex,Essex
hardly,hardly
anew,anew
gods,gods
earthly,earthly
friend,friend
naturalize,naturalize
Little,Little
nights,nights
either,either
patient,patient
Solinus,Solinus
surely,surely
letting,letting
sensible,sensible
pictures,pictures
ought,ought
Rest,Rest
quickly,quickly
How,How
sue,sue
Away,Away
hearkens,hearkens
condition,condition
established,established
else,else
Saw'st,Saw'st
There's,There's
greater,greater
Shore,Shore
conclusion,conclusion
Consent,Consent
Bad,Bad
easily,easily
Plague,Plague
Senate,Senate
Procure,Procure
decreed,decreed
plea,plea
wings,wings
close,close
accoutrement,accoutrement
drew,drew
while,while
dinner,dinner
Parolles,Parolles
Players,Players
pleasing,pleasing
honour,honour
bonds,bonds
Naught,Naught
wrinkled,wrinkled
Transported,Transported
will,will
thither,thither
hold,hold
Did,Did
Had,Had
superfluity,superfluity
Beneath,Beneath
Hacket,Hacket
Andronicus,Andronicus
whisperings,whisperings
tremble,tremble
humours,humours
Arthur,Arthur
mind,mind
Crush,Crush
stone,stone
Yea,Yea
wrack,wrack
humbled,humbled
Mine,Mine
tractable,tractable
Mowbray,Mowbray
Who's,Who's
shed,shed
beauteous,beauteous
attend,attend
pallabris,pallabris
tendance,tendance
Twenty,Twenty
Regan,Regan
knightly,knightly
temporize,temporize
Rome,Rome
Stealing,Stealing
singeth,singeth
statutes,statutes
elect,elect
Kill,Kill
Citizens,Citizens
Thomas,Thomas
Ambitiously,Ambitiously
repose,repose
large,large
case,case
rose,rose
Proud,Proud
what's,what's
tis,tis
on't,on't
slew,slew
